"Analyzed Date","QC Batch","Qualifier","CAS #","Analyte","Result","RL","Units","Dilution","Method"
"02/06/18","B8B0608","","630-20-6","1,1,1,2-Tetrachloroethane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","71-55-6","1,1,1-Trichloroethane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","79-34-5","1,1,2,2-Tetrachloroethane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","79-00-5","1,1,2-Trichloroethane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","75-34-3","1,1-Dichloroethane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","75-35-4","1,1-Dichloroethylene","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","87-61-6","1,2,3-Trichlorobenzene","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","96-18-4","1,2,3-Trichloropropane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","526-73-8","1,2,3-Trimethylbenzene","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","120-82-1","1,2,4-Trichlorobenzene","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","95-63-6","1,2,4-Trimethylbenzene","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","106-93-4","1,2-Dibromoethane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","95-50-1","1,2-Dichlorobenzene","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","107-06-2","1,2-Dichloroethane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","78-87-5","1,2-Dichloropropane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","108-67-8","1,3,5-Trimethylbenzene","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","541-73-1","1,3-Dichlorobenzene","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","106-46-7","1,4-Dichlorobenzene","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","540-84-1","2,2,4-Trimethylpentane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","78-93-3","2-Butanone (MEK)","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","91-57-6","2-Methylnaphthalene","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","67-64-1","2-Propanone (acetone)","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","108-10-1","4-Methyl-2-pentanone (MIBK)","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","71-43-2","Acrylonitrile","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","74-97-5","Benzene","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","75-27-4","Bromochloromethane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","75-25-2","Bromodichloromethane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","74-83-9","Bromoform","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","75-15-0","Bromomethane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","56-23-5","Carbon disulfide","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","108-90-7","Carbon tetrachloride","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","75-00-3","Chlorobenzene","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","67-66-3","Chloroethane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","74-87-3","Chloroform","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","156-59-2","Chloromethane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","10061-01-5","cis-1,2-Dichloroethylene","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","110-82-7","cis-1,3-Dichloropropylene","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","124-48-1","Cyclohexane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","74-95-3","Dibromochloromethane","ND","50","ug/kg dry","","8260"
"02/06/18","B8B0608","","","Dibromomethane","ND","50","ug/kg dry","","8260"
```


