```csv
"Parameter(s)","Result","Q","Units","Reporting Limit","Dilution","Prep Date","Prep Batch","Analysis Date","Analysis Batch"
"Dry Weight Determination (ASTM D 2974-87)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Trace Elements by ICP/MS (EPA 0200.2-M/EPA 6020A)","33000"," ","yg/kg","500","20","08/08/12","PT12HO8F","08/08/12","T212HO8A"
"UST - Used Motor Oils - Volatiles, 5035 (EPA 5035/EPA 8260B)","5600"," ","ug/kg","100","1.0","08/06/12","VI12HO6B","08/06/12","Vi12HO6B"
"4,","3600"," ","ug/kg","200","1.0","08/06/12","VI12HO6B","08/06/12","Vi12HO6B"
"6.","5900"," ","ug/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","Vi12HO6B"
"8","5200"," ","ug/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","Vi12HO6B"
"10.","7100"," ","g/kg","100","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"12.","5900"," ","ug/kg","100","1.0","08/06/12","VI12HO6B","08/06/12","Vi12HO6B"
"14.","5900"," ","ug/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"16.","5600"," ","ug/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","Vi12HO6B"
"18","5800"," ","ug/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"20.","5700"," ","yg/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"22","5100"," ","g/kg","50","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"24.","6400"," ","ug/kg","100","1.0","08/06/12","VI12HO6B","08/06/12","VI12HO6B"
"26.","6600"," ","yg/kg","100","1.0","08/06/12","VI12HO6B","08/06/12","Vi12HO6B"
```





